(0.21608067455981678, 11)
(-0.21063640386132704, 50)
(-0.19069055891907669, 49)
(0.1868772889189233, 10)
(-0.18298650351309545, 60)
(-0.18090722897647615, 57)
(-0.17226202143225963, 58)
(-0.17030621956621095, 59)
(-0.1698882306359065, 82)
(-0.16945533364823631, 12)
(0.16913863930608408, 7)
(-0.14859633959263618, 90)
(0.14721695580883129, 98)
(-0.14707607227342034, 64)
(0.14691674411841926, 53)
(-0.14647820284425536, 25)
(-0.14141831523797369, 13)
(-0.14025522612882849, 15)
(-0.13983141728859061, 63)
(-0.13971268436681983, 83)
(-0.13768857836090875, 34)
(-0.13621067186301886, 38)
(-0.13620854039495781, 46)
(-0.13419326313507526, 43)
(-0.12684659477307303, 36)
(0.12651570978782831, 91)
(0.12651562769409586, 92)
(-0.12567927460922546, 14)
(-0.12503380446317494, 81)
(-0.12335428296848817, 85)
(-0.12230070896556267, 80)
(-0.12221530752595797, 84)
(-0.11858756546769153, 55)
(-0.118404146311628, 93)
(-0.1184041337951004, 94)
(-0.11827756660165104, 42)
(-0.11228398350853899, 20)
(-0.11135095943945211, 24)
(-0.10955590552836715, 45)
(-0.10921617855041359, 44)
(-0.1077954783480002, 54)
(-0.10366945919555816, 8)
(-0.10357017433651912, 6)
(-0.10215215825123465, 41)
(0.097245004335618598, 74)
(-0.095479594475490856, 23)
(-0.094677958173507826, 22)
(0.093388921026017549, 47)
(0.09143112245202463, 48)
(-0.090664175520143456, 33)
(0.090418961872249418, 27)
(-0.089783038276644161, 26)
(-0.085643128132122354, 73)
(-0.080072335113779231, 51)
(-0.079153068379880079, 16)
(-0.078355180723267664, 95)
(0.070465642469463047, 35)
(-0.070253328507733526, 88)
(-0.069457759191824883, 76)
(0.066531324163196348, 37)
(-0.061102719257167745, 68)
(-0.059916963673313221, 17)
(-0.058539636205450163, 65)
(-0.053787257851049437, 86)
(-0.052027550883723774, 18)
(-0.050904704721915266, 21)
(-0.04776479020426546, 72)
(0.043795525858535779, 31)
(-0.042708337894798006, 71)
(-0.039210599533372983, 66)
(-0.039088602488050309, 79)
(-0.038388213696136646, 67)
(0.038058609167007242, 29)
(-0.03788545995062232, 77)
(0.036402694081829695, 78)
(-0.022425658121949896, 89)
(0.022228964676578818, 28)
(0.020452020678962596, 30)
(-0.020174239332295701, 87)
(0.019109645994677953, 32)
(0.013068561446426112, 19)
(-0.012468823905215372, 52)
(-0.0030178100041357262, 56)
